robot_src,pose_src,robot_dst,pose_dst,qx,qy,qz,qw,tx,ty,tz,kappa,tau,is_known_inlier,weight
2,0,2,1,-0.00268019,0.331976,0.0118579,0.94321,2.16896,-0.40801,4.74805,10000,100,1,1
2,1,2,2,-0.00113371,-0.184778,-0.020904,0.982557,-0.119436,-0.414087,5.20407,10000,100,1,1
2,2,2,3,0.00770631,-0.179856,-0.00463558,0.983652,-0.735932,-0.418816,5.09598,10000,100,1,1
2,3,2,4,0.0183238,-0.155597,-0.0027231,0.987647,-0.922472,-0.537627,5.39366,10000,100,1,1
2,4,2,5,-0.00999554,0.0070463,0.0125576,0.999846,-0.776251,-0.333515,5.19069,10000,100,1,1
2,5,2,6,-0.00369202,0.124053,-0.00140687,0.992268,0.788904,-0.439379,5.57118,10000,100,1,1
2,6,2,7,-0.00653758,0.300125,0.015819,0.953746,2.31544,-0.367192,4.78503,10000,100,1,1
2,7,2,8,0.000238537,-0.0931006,-0.0133041,0.995568,-0.551419,-0.450957,5.46519,10000,100,1,1
2,8,2,9,0.0015771,-0.154272,0.000559222,0.988027,-1.44207,-0.399298,5.14131,10000,100,1,1
2,9,2,10,-0.00369346,-0.0405549,0.00316574,0.999165,0.121271,-0.419313,5.37428,10000,100,1,1
2,10,2,11,-0.000201749,-0.0591619,0.00268177,0.998245,-0.575203,-0.436173,5.3812,10000,100,1,1
2,11,2,12,0.00748572,0.068704,-0.00192401,0.997607,0.261465,-0.48097,5.35057,10000,100,1,1
2,12,2,13,-0.000750938,-0.00869671,-0.00695972,0.999938,-0.0100352,-0.399308,5.42354,10000,100,1,1
2,13,2,14,-0.00541489,0.345864,0.0231379,0.937984,2.04247,-0.288186,4.77547,10000,100,1,1
2,14,2,15,-0.00153829,0.262199,0.0125177,0.964931,1.3599,-0.329973,4.85363,10000,100,1,1
2,15,2,16,-0.00855523,0.676834,0.0279834,0.735554,3.64787,-0.301718,2.97191,10000,100,1,1
2,16,2,17,0.00122938,0.104298,0.00244703,0.994542,1.00188,-0.279097,5.33064,10000,100,1,1
2,17,2,18,-0.00716609,-0.059957,-5.77807e-05,0.998175,-0.467827,-0.367438,5.32907,10000,100,1,1
2,18,2,19,0.011597,-0.0188515,-0.00101841,0.999755,-0.0841267,-0.438505,5.34386,10000,100,1,1
2,19,2,20,-0.00310608,0.039737,-0.0100914,0.999154,0.0650574,-0.351479,5.46846,10000,100,1,1
2,20,2,21,-0.00244514,-0.0568823,0.00484733,0.998366,-0.077088,-0.370019,5.42367,10000,100,1,1
2,21,2,22,-0.00470925,0.0720211,0.00514549,0.997379,-0.256071,-0.306077,5.25829,10000,100,1,1
2,22,2,23,-0.000451704,-0.0585144,-0.00811739,0.998253,-0.0934703,-0.412336,5.3668,10000,100,1,1
2,23,2,24,-0.00688208,0.0110003,0.00214135,0.999914,0.22401,-0.459745,5.46699,10000,100,1,1
2,24,2,25,-0.00110155,0.0044713,-0.00600798,0.999971,0.0546902,-0.521895,5.33122,10000,100,1,1
2,25,2,26,0.00484698,0.065255,0.00801454,0.997825,-0.0429732,-0.494276,5.45477,10000,100,1,1
2,26,2,27,-0.00164074,-0.0589287,-0.00619207,0.998242,-0.572431,-0.469595,5.31266,10000,100,1,1
2,27,2,28,-0.00582709,0.00845985,0.0110193,0.999887,0.175138,-0.458988,5.60634,10000,100,1,1
2,28,2,29,0.0157612,0.00455488,0.00347733,0.999859,-0.135428,-0.552907,5.43483,10000,100,1,1
2,29,2,30,0.00328647,-0.0284683,-0.0106435,0.999533,-0.340014,-0.347768,5.26561,10000,100,1,1
2,30,2,31,-0.00760109,0.020814,0.00623694,0.999735,0.204537,-0.316238,5.30615,10000,100,1,1
2,31,2,32,-0.00919383,-0.0532664,0.0048646,0.998526,-0.172671,-0.366768,5.54702,10000,100,1,1
2,32,2,33,0.00733597,0.0913706,0.00232728,0.995787,0.525117,-0.477881,5.41251,10000,100,1,1
2,33,2,34,0.00265335,-0.0420873,0.00386529,0.999103,-0.345165,-0.414606,5.41235,10000,100,1,1
2,34,2,35,0.000800163,-0.0662104,-0.0171891,0.997657,-0.417392,-0.418707,5.32351,10000,100,1,1
2,35,2,36,0.00371894,0.0459835,0.0122944,0.99886,-0.379213,-0.334584,5.60472,10000,100,1,1
2,36,2,37,-0.00503379,0.0630964,-0.00284539,0.997991,0.259081,-0.433064,5.7352,10000,100,1,1
2,37,2,38,-0.00283322,-0.06027,-0.00193995,0.998176,-0.503498,-0.430102,5.31587,10000,100,1,1
2,38,2,39,0.00470224,-0.11419,-0.019296,0.99326,-0.981191,-0.400686,5.18021,10000,100,1,1
2,39,2,40,-0.008789,-0.0411799,0.00978395,0.999065,-0.653582,-0.453938,5.38046,10000,100,1,1
2,40,2,41,0.00919723,-0.0317584,-0.0107336,0.999396,-0.317902,-0.480051,5.32288,10000,100,1,1
2,41,2,42,-0.000293352,0.00367472,-0.00128995,0.999992,0.0345711,-0.417859,5.5893,10000,100,1,1
2,42,2,43,0.00870599,-0.0669478,-0.0145699,0.997612,-0.688347,-0.479377,5.50097,10000,100,1,1
2,43,2,44,-0.00167857,0.012776,0.00828784,0.999883,0.0968148,-0.400946,5.37861,10000,100,1,1
2,44,2,45,-0.00126546,-0.0706318,0.00855144,0.997465,-0.464416,-0.430739,5.34352,10000,100,1,1
2,45,2,46,-0.00545414,0.0669268,0.000654295,0.997743,0.179509,-0.400941,5.32572,10000,100,1,1
2,46,2,47,0.00513833,0.0137389,-0.00233065,0.99989,-0.170886,-0.468289,5.47519,10000,100,1,1
2,47,2,48,-0.0179252,0.0155253,0.00296273,0.999714,-0.158841,-0.381791,4.92074,10000,100,1,1
2,48,2,49,0.0245364,-0.0196615,0.00136652,0.999505,-0.603607,-0.605507,5.33788,10000,100,1,1
2,49,2,50,2.52593e-06,-0.00759298,-0.00377855,0.999964,-0.0611118,-0.347489,5.40156,10000,100,1,1
2,50,2,51,-0.00680584,-0.0631502,-0.000863053,0.99798,-0.592912,-0.344223,5.32084,10000,100,1,1
2,51,2,52,-0.00830731,0.119952,4.06784e-05,0.992745,0.453198,-0.330908,5.45254,10000,100,1,1
2,52,2,53,-0.000971454,-0.0360257,0.00659672,0.999329,-0.213549,-0.495551,5.30158,10000,100,1,1
2,53,2,54,0.00223702,-0.0299753,-0.000359729,0.999548,-0.313917,-0.446028,5.24901,10000,100,1,1
2,54,2,55,0.0015423,0.0223568,0.00129087,0.999748,-0.0247441,-0.477633,5.3438,10000,100,1,1
2,55,2,56,-0.000593818,-0.0584541,-0.00563867,0.998274,-0.931478,-0.332212,5.39844,10000,100,1,1
2,56,2,57,-0.000100209,0.151851,0.000241741,0.988403,0.692505,-0.346319,5.2869,10000,100,1,1
2,57,2,58,0.0082347,-0.0827231,0.00104355,0.996538,-0.990932,-0.42071,5.35229,10000,100,1,1
2,58,2,59,-0.0103586,-0.09446,0.00471048,0.995464,-0.294373,-0.390081,5.28022,10000,100,1,1
2,59,2,60,0.00821472,0.096645,-0.00295805,0.995281,0.271085,-0.342252,5.47438,10000,100,1,1
2,60,2,61,0.0180685,-0.0776798,-0.0090163,0.996774,-0.480037,-0.366594,5.32964,10000,100,1,1
2,61,2,62,-0.0240774,0.0575458,0.00908138,0.998011,0.190528,-0.19414,5.36534,10000,100,1,1
2,62,2,63,0.00368917,-0.0221033,0.00389442,0.999741,0.0832085,-0.452149,5.41489,10000,100,1,1
2,63,2,64,0.00794553,-0.259264,-0.0135902,0.965678,-1.27238,-0.51538,5.2457,10000,100,1,1
2,64,2,65,0.0103791,-0.532153,-0.0278185,0.846127,-2.71417,-0.130569,4.15211,10000,100,1,1
2,65,2,66,-0.0249884,-0.00739253,0.00339277,0.999655,-0.290127,-0.0716473,5.32302,10000,100,1,1
2,66,2,67,0.0431409,0.0331648,0.0034661,0.998512,0.0231337,-0.524452,4.76351,10000,100,1,1
