robot_src,pose_src,robot_dst,pose_dst,qx,qy,qz,qw,tx,ty,tz,kappa,tau,is_known_inlier,weight
0,0,0,1,0.00151398,-0.000732905,0.000447662,0.999998,0.00233956,0.00399974,0.00266548,10000,100,1,1
0,1,0,2,2.8924e-05,-4.35024e-05,-9.83687e-05,1,0.00312501,0.000724613,0.00955516,10000,100,1,1
0,2,0,3,-0.000122514,0.00472693,0.000441735,0.999989,-0.0439364,0.000128694,-0.0285506,10000,100,1,1
0,3,0,4,7.91111e-05,-3.66997e-06,-2.9429e-05,1,-0.000411744,-0.00128633,0.000691019,10000,100,1,1
0,4,0,5,-0.005724,0.799466,0.0761896,0.595832,4.62864,0.133349,-1.26386,10000,100,1,1
0,5,0,6,0.000484644,-0.0699485,-0.00947663,0.997505,-0.374831,-0.556552,5.3765,10000,100,1,1
0,6,0,7,0.00527716,-0.017825,-0.00134285,0.999826,-1.10595,-0.586618,5.23547,10000,100,1,1
0,7,0,8,-0.0006846,0.111529,0.0185007,0.993589,0.348784,-0.488471,5.16707,10000,100,1,1
0,8,0,9,-0.00884588,-0.137576,-0.0197156,0.990256,-1.25645,-0.504313,5.1659,10000,100,1,1
0,9,0,10,0.00962593,-0.0628964,-0.00654511,0.997952,1.0537,-0.629094,5.1376,10000,100,1,1
0,10,0,11,-0.0133735,0.0188214,0.00417477,0.999725,0.152299,-0.385075,4.41413,10000,100,1,1
0,11,0,12,0.00649022,0.229201,0.0283406,0.972945,1.40268,-0.666959,5.08821,10000,100,1,1
0,12,0,13,0.0100532,0.733621,0.0702258,0.675846,3.66895,-0.183982,1.95925,10000,100,1,1
0,13,0,14,-5.70596e-05,0.209265,0.014243,0.977755,0.312498,-0.511417,5.2889,10000,100,1,1
0,14,0,15,-0.00120306,0.0272377,0.00170473,0.999627,0.38919,-0.518844,5.45891,10000,100,1,1
0,15,0,16,-0.00532089,-0.0313377,-0.00524923,0.999481,-0.22396,-0.550398,5.51811,10000,100,1,1
0,16,0,17,-0.00220993,0.07894,0.0130596,0.996791,0.36694,-0.497431,4.58897,10000,100,1,1
0,17,0,18,0.012552,-0.506781,-0.0506883,0.860492,-2.43173,-0.149318,2.40281,10000,100,1,1
0,18,0,19,0.0013473,-0.705833,-0.0687046,0.705037,-4.46151,-0.425209,2.59881,10000,100,1,1
0,19,0,20,0.00146568,0.215873,0.0317141,0.975905,1.16544,-0.571424,5.25731,10000,100,1,1
0,20,0,21,0.00338005,0.632969,0.056103,0.772134,2.15937,-0.548287,3.86086,10000,100,1,1
0,21,0,22,-0.000899973,-0.229929,-0.0183087,0.973035,0.678746,-0.505349,5.03778,10000,100,1,1
0,22,0,23,0.00300483,-0.547386,-0.0576983,0.834884,-3.92757,-0.310851,3.27577,10000,100,1,1
0,23,0,24,-0.0016825,0.0477345,0.0122476,0.998784,0.347793,-0.521164,5.31201,10000,100,1,1
0,24,0,25,-0.00171377,0.0420011,0.00432621,0.999107,0.221876,-0.543252,5.28237,10000,100,1,1
